__v,_id,age,brand,catId,collectionn,color,components,components_en,composition,composition_en,createdAt,description,dimensions,email,images,item_code,name,ordering,origine,product_cat,product_manufacturer_code,properties,properties_en,regular_price,retail_unite_of_meassure,role,sale_price,stock_status,tax_class,updatedAt,vendor
0,62e0f5c768774f0af1bda28a,Burrë,TIMBERLAND,1.2.1,1,0,,,"Pjesa e sipërme me lëkurë kualitative dhe material ReBOTL, pjesa e poshtme me shtresë Memory Foam dhe me sistem Ground Contact.",Upper made with Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  ReBOTL fabric lining  Memory foam footbed  Ground-contact EVA midsole  HoverLite comfort outsole,2022-07-27T08:22:32.027Z,GRAYDON F/L LOW BLK,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",A1XG2W,Atlete me lidhëse,1,KH,Këpucë-Këpucë,A1XG2W,Atlete me lidhëse dhe materiale të kombinuara.,Sneakers with laces and combined materials.,99,COP,Vendor,69.3,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda28b,Burrë,TIMBERLAND,1.2.2,1,0,,,50% Plastikë e ricikluar dhe lëkurë sintetike 100% e ricikluar,50% recycled plastic and synthetic leather  100% recycled,2022-07-27T08:22:32.027Z,Adv 2.0 Green Knit Ox,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",A29DNM,Atlete me lidhëse,3,KH,Këpucë-Atlete,A29DNM,,,99,COP,Vendor,69.3,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda28c,Grua,TIMBERLAND,1.2.3,1,0,,,"50% Plastikë e ricikluar , 70% Material gome bio","50% recycled plastic , 70% bio-based material  Rubber",2022-07-27T08:22:32.027Z,Solar Wave LT Low,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",A2EZYM,Atlete me lidhëse,1,PH,Këpucë-Atlete,A2EZYM,,,119,COP,Vendor,83.3,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda28d,Burrë,TIMBERLAND,1.2.4,1,090A24,,,"75% Material i ripërtëritshëm, 50% Ricikluar Plastikë, 100% Ricikluar","75% renewable materials, 50% recycled plastic, 100% recycled  70% bio-based materials",2022-07-27T08:22:32.027Z,Bradstreet Ultra Trainer for Men in Navy,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",A2CDNM,Atlete me lidhëse,2,KH,Këpucë-Këpucë,A2CDNM,,,124,COP,Vendor,86.8,,18,2022-08-01T11:09:39.164Z,17
0,62e0f5c768774f0af1bda28e,Grua,GEOX,1.2.5,1,0,,,57% gomë-43% CMEVA,57% Rubber-43% CMEVA,2022-07-27T08:22:32.027Z,Bulmya sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",D15NQB01422-9999,Atlete Bulmya,3,AO,Këpucë-Atlete,D15NQB01422,Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyreve për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",109.99,COP,Vendor,54.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda28f,Fëmijë (Vajzë),GEOX,1.2.6,1,ec95a7,,,100% IPEVA,100% IPEVA,2022-07-27T08:22:32.028Z,Bubblex sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",J15CNA01415-8011,Atlete Bubblex,3,AO,Këpucë-Atlete,J15CNA01415,Çdo fëmijë shpeshherë ëndërron të jetë i rritur. Prandaj është dizajnuar ky model për fëmijë që inspirohet nga atletet e prindërve dhe që nuk e cenon sigurinë dhe rehatinë. Këto atlete e krijojnë një mikroklimë të përsosur në këmbët e fëmijëve për t'i mbajtur këmbët e tyre të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës.,"There is a perfect shoe for every child. We have them all. Thanks to Geox?s high level of specialisation, GEOX knows how to ensure the correct development and wellbeing for young feet during every phase of growth. Every so often children dream about being adults. That?s why we have designed a model for your children that is inspired by mum and dad?s shoes yet does not impede safety and comfort. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",79.99,COP,Vendor,39.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda290,Burrë,GEOX,1.2.7,1,bfbfbf,,,100% poliuretan termoplastik,100% Termoplastic Rubber,2022-07-27T08:22:32.028Z,Blainey shoes,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",U026QC00022-1006,Këpucë Blainey,3,AO,Këpucë-Këpucë,U026QC00022,"Këto këpucë karakterizohen nga kombinimi i një shtrese të rehatshme dhe me ajrosje me një cipë që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve si dhe  për  t'i mbajtur këpucët e thara dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",139.99,COP,Vendor,69.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda291,Burrë,GEOX,1.2.8,1,68240b,,,100% poliuretan termoplastik,100% Termoplastic Rubber,2022-07-27T08:22:32.028Z,Calarossa moccasins,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",U029FB00022-6006,Mokasina Calarossa,4,AO,Këpucë-Mokasina,U029FB00022,"Këto mokasina karakterizohen nga kombinimi i një shtrese të rehatshme dhe me ajrosje me një cipë që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve për t?u siguruar që këmbët tuaja të jenë të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",139.99,COP,Vendor,69.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda292,Burrë,GEOX,1.2.9,1,1b0d72,,,20% gomë 20% poliuretan termoplastik 60% acetat etilen-vinil,20% Rubber-20% Termoplastic Polyurethane-60% Ethylene-Vinyl Acetate,2022-07-27T08:22:32.028Z,Levita sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",U159XA08522-4002,Atlete Levita,2,AO,Këpucë-Atlete,U159XA08522,"Super të rehatshme dhe me ajrosje dhe të lehta për t'i mbathur, këto kanë një cipë për ajrosje e cila është waterproof. Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyre për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën.","Levita is a true revolution when it comes to innovation. Super comfortable with a snug upper and easy to wear, it is the first sneaker in which the waterproof and breathable membrane - the heart of Geox patented technology - is on display. The innovative 3D mesh panel offers improved lightness and shock absorption while encouraging ventilation, boosted by the special inner lining. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",169.99,COP,Vendor,118.993,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda293,Burrë,GEOX,1.2.10,1,0c343d,,,100% CMEVA,100% CMEVA,2022-07-27T08:22:32.028Z,Sneakers Spherica,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",U15BYA0006K-4064,Atlete Spherica,2,VN,Këpucë-Atlete,U15BYA0006K,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",129.99,COP,Vendor,103.992,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda294,Burrë,GEOX,1.3.1,1,1b0d72-130e36,,,67% acetat etilen-vinil 33% gomë,67% Ethylene-Vinyl Acetate-33% Rubber,2022-07-27T08:22:32.029Z,Nebula sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",U15D7D06K85-4585,Atlete Nebula,2,AO,Këpucë-Atlete,U15D7D06K85,"Me rehati maksimale, Nebula e përfaqëson majën e teknologjisë GEOX. Atlete të dizajnuara për ta shëtitur botën, të përshtatshme për çdo sezon dhe që në mënyrë natyrale i adaptohen secilës lëvizje të këmbëve. Këto janë atletet ideale për ata që duan të udhëtojnë me stil dhe personalitetin, por pa e penguar rehatinë. Falë teknologjive Net Breathing System dhe Inner Breathing System, atletet kanë nivel të lartë të ajrosjes, fleksibilitet maksimal, stabilitet e shumëçka tjetër që garanduhen nga 3D Performance Unit.","Resulting from the fusion of a modern design with maximum comfort, Nebula represents the peak of GEOX technology. Designed for travelling the world, perfect for any season, they naturally adapt to every movement of the foot. This is the perfect shoe for those who love to travel with style and personality, without compromising on comfort. Wearing them is like walking on a cloud. The combination of the Net Breathing System and Inner Breathing System equips the shoe with 360° breathability, also thanks to the special lining that supports temperature regulation of the foot. Maximum flexibility, stability, comfort and grip are all guaranteed by the 3D Performance Unit.",159.99,COP,Vendor,79.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda295,Grua,GEOX,1.3.2,1,000000-f8d3ac,,,100% poliuretan termoplastik,100% Termoplastic Polyurethane,2022-07-27T08:22:32.029Z,Faviola shoes,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",D158UA00021-9B7R,Këpucë Faviola,4,AO,Këpucë-Këpucë,D158UA00021,"Këto këpucë karakterizohen nga kombinimi i një shtrese të rehatshme dhe një cipe që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",149.99,COP,Vendor,74.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda296,Grua,GEOX,1.3.3,1,9e7c72,,,60% Etilen-Acetat Vinyl-40% Gomë,60% Ethylene-Vinyl Acetate-40% Rubber,2022-07-27T08:22:32.029Z,Aerantis sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",D02HNA00020-6004,Atlete Aerantis,1,AO,Këpucë-Atlete,D02HNA00020,"Aerantis ? është thelbi i teknologjisë dhe krenohet me zgjidhjet e fundit që lejojnë këpucët të marrin frymë për një ndjesi të mahnitshme të mirëqenies. Sistemi novator i ventilimit funksionon si një motor i fuqishëm i cili, i nxitur nga lëvizja, rrit qarkullimin e brendshëm të ajrit dhe lehtëson frymëmarrjen në të gjithë këmbën. Punon së bashku me Sistemin e Frymëmarrjes së Brendshme, një rreshtim i veçantë i brendshëm i cili optimizon frymëmarrjen dhe shpërndarjen e nxehtësisë, dhe Sistemin e Frymëmarrjes Neto, i cili siguron që ajri i nxehtë nga brenda të zëvendësohet me ajër të ftohtë nga jashtë falë shpimit të gjerë të tabanit dhe sipërfaqe që merr frymë. Toka klasike e gomës Geox bazohet në një patentë ekskluzive: kombinimi i tabanit të shpuar dhe membranës rezistente të frymëmarrjes dhe të papërshkueshëm nga uji lejojnë rregullimin natyror të temperaturës, duke krijuar kështu mikroklimën e përsosur brenda këpucëve që i mban këmbët të thata dhe të rehatshme për tërë ditën.","Aerantis? is the essence of technology and boasts cutting-edge solutions that allow the shoe to breathe for an amazing sensation of well-being. The groundbreaking Ventilation System works just like a powerful engine which, prompted by movement, steps up the internal air circulation and facilitates breathability all around the foot. It works in conjunction with the Inner Breathing System, a special interior lining which optimises breathability and heat dispersion, and the Net Breathing System, which ensures that hot air from the inside is replaced with cool air from the outside thanks to the sole?s broad perforated and breathable surface area. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",169.99,COP,Vendor,84.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda297,Burrë,GEOX,1.3.4,1,a66c12,,,67% Etilen-Vinil Acetat-33% Gomë,67% Ethylene-Vinyl Acetate-33% Rubber,2022-07-27T08:22:32.029Z,Boots Nebula,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",U162VC00045-6009,Qizme Nebula,3,AO,Këpucë-Atlete,U162VC00045,Goma klasike e Geox bazohet në materialin patent ekskluziv. Kombinimi i gomës dhe membranës e cila është e papërshkueshme nga uji dhe me ajrosje e lejojnë rregullimin natyral të temperaturës duke krijuar kështu mikroklimën perfekte brenda këpucëve e cila,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe t",179.99,COP,Vendor,89.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda298,Grua,GEOX,1.3.5,1,ffffff-c0c0c0,,,80% Etilen-Vinil Acetat-20% Gomë,80% Ethylene-Vinyl Acetate-20% Rubber,2022-07-27T08:22:32.029Z,Boots Falena,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",D16HXB046FU-0007,Çizme Falena,3,AO,Këpucë-Çizme,D16HXB046FU,Këto këpucë kanë shtresë termike e cila mbron nga temperaturat e rënda. Teknologjia Geox: praktike dhe të rehatshme.,These shoes feature a thermal lining that can protect against even the harshest temperatures. GEOX technology at the service of comfort and practicality.,179.99,COP,Vendor,89.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda299,Grua,GEOX,1.3.6,1,1.79769313486232E+308,,,60% Etilen-Vinil Acetat-30% Gome-10% Gomë Termoplastike,60% Ethylene-Vinyl Acetate-30% Rubber-10% Termoplastic Rubber,2022-07-27T08:22:32.030Z,Boots Dalyla,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/auv0mjf9v-5543650-57_1.jpg""]",D16QSA02285-9002,Çizme Dalyla,5,AO,Këpucë-Çizme,D16QSA02285,Këto këpucë kanë shtresë termike e cila mbron nga temperaturat e rënda. Teknologjia Geox: praktike dhe të rehatshme.,These shoes feature a thermal lining that can protect against even the harshest temperatures. GEOX technology at the service of comfort and practicality.,179.99,COP,Vendor,89.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda29a,Burrë,GEOX,1.3.7,1,0,,,100% CMEVA,100% CMEVA,2022-07-27T08:22:32.030Z,Sneakers Spherica,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/ox812pcn1-5543651-39_1.jpg""]",U15BYA0006K-9997,Atlete Spherica,2,VN,Këpucë-Atlete,U15BYA0006K,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",129.99,COP,Vendor,103.992,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda29b,Fëmijë (Djalë),GEOX,1.3.8,1,0,,,100% Gomë,100% Rubber,2022-07-27T08:22:32.030Z,Nevegal girl,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/i2mqqjrdu-37033731-08_1-732x1024.jpg""]",J04CSB0FUME-9002,Çizme Nevegal,4,AO,Këpucë-Çizme,J04CSB0FUME,"Nevegal ABX është ideale për mot të ftohtë ose të keq. Është punuar nga najloni dhe një material gri të errët. E pajisur me teknologji inovative, Nevegal ABX ka një thembër të jashtme me frymëmarrje dhe me një sistem të patentuar nga Geox, i cili promovon","Nevegal ABX is a key winter piece that will prove ideal for cold or bad weather. It has been crafted from nylon and a waxed-leather-effect material in dark grey. Endowed with innovative technology, Nevegal ABX has a breathable outsole with a Geox-patented",119.99,COP,Vendor,59.995,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda29c,Foshnje (Vajzë),GEOX,1.3.9,1,f2d0d0,,,100% Gomë,100% Rubber,2022-07-27T08:22:32.030Z,Macchina Sandals,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/vqf1aie7x-50475872-001_1.jpg""]",B254WB00085-8172,Sandale Macchina,3,IN,Këpucë-Atlete,B254WB00085,,,69.99,COP,Vendor,48.993,,18,2022-08-01T11:09:39.171Z,39
0,62e0f5c768774f0af1bda29d,Grua,GEOX,1.3.10,1,f5a451-eeeeee,,,100% Etilen-Vinil acetat,100% Ethylene-Vinyl Acetate,2022-07-27T08:22:32.030Z,Skyely Sneakers,,vendor@gmail.com,"[""http://appapi.albionline.com/vendorimages/iwxl3prl0-rpl001806_1.jpg""]",D25QXE0AL22-H85Q,Atlete Skyely,1,MA,Këpucë-Atlete,D25QXE0AL22,,,139.99,COP,Vendor,97.993,,18,2022-08-01T11:09:39.171Z,39
