name,item_code,description,retail_unite_of_meassure,regular_price,sale_price,tax_class,dimensions,color,age,brand,stock_status,vendor,product_manufacturer_code,product_cat,properties,properties_en,composition,composition_en,components,components_en,collectionn,ordering,origine,images,tag,tae
Atlete me lidhëse,A1XG2W,GRAYDON F/L LOW BLK,COP,99,69.3,18,,0,Burrë,TIMBERLAND,,17,A1XG2W,Këpucë-Këpucë,Atlete me lidhëse dhe materiale të kombinuara.,Sneakers with laces and combined materials.,"Pjesa e sipërme me lëkurë kualitative dhe material ReBOTL, pjesa e poshtme me shtresë Memory Foam dhe me sistem Ground Contact.",Upper made with Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  ReBOTL fabric lining  Memory foam footbed  Ground-contact EVA midsole  HoverLite comfort outsole,,,1,1,KH,http://46.99.130.129:60000/_uploads/photos/A1XG2W_1.jpg,,
Atlete me lidhëse,A29DNM,Adv 2.0 Green Knit Ox,COP,99,69.3,18,,0,Burrë,TIMBERLAND,,17,A29DNM,Këpucë-Atlete,,,50% Plastikë e ricikluar dhe lëkurë sintetike 100% e ricikluar,50% recycled plastic and synthetic leather  100% recycled,,,1,3,KH,http://46.99.130.129:60000/_uploads/photos/A29DNM_1.jpg,,
Atlete me lidhëse,A2EZYM,Solar Wave LT Low,COP,119,83.3,18,,0,Grua,TIMBERLAND,,17,A2EZYM,Këpucë-Atlete,,,"50% Plastikë e ricikluar , 70% Material gome bio","50% recycled plastic , 70% bio-based material  Rubber",,,1,1,PH,http://46.99.130.129:60000/_uploads/photos/A2EZYM_1.jpg,,
Atlete me lidhëse,A2CDNM,Bradstreet Ultra Trainer for Men in Navy,COP,124,86.8,18,,090A24,Burrë,TIMBERLAND,,17,A2CDNM,Këpucë-Këpucë,,,"75% Material i ripërtëritshëm, 50% Ricikluar Plastikë, 100% Ricikluar","75% renewable materials, 50% recycled plastic, 100% recycled  70% bio-based materials",,,1,2,KH,http://46.99.130.129:60000/_uploads/photos/A2CDNM_1.jpg,,
Atlete Bulmya,D15NQB01422-9999,Bulmya sneakers,COP,109.99,54.995,18,,0,Grua,GEOX,,39,D15NQB01422,Këpucë-Atlete,Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyreve për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",57% gomë-43% CMEVA,57% Rubber-43% CMEVA,,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/D15NQB01422-9999_1.jpg,,
Atlete Bubblex,J15CNA01415-8011,Bubblex sneakers,COP,79.99,39.995,18,,ec95a7,Fëmijë (Vajzë),GEOX,,39,J15CNA01415,Këpucë-Atlete,Çdo fëmijë shpeshherë ëndërron të jetë i rritur. Prandaj është dizajnuar ky model për fëmijë që inspirohet nga atletet e prindërve dhe që nuk e cenon sigurinë dhe rehatinë. Këto atlete e krijojnë një mikroklimë të përsosur në këmbët e fëmijëve për t'i mbajtur këmbët e tyre të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës.,"There is a perfect shoe for every child. We have them all. Thanks to Geox?s high level of specialisation, GEOX knows how to ensure the correct development and wellbeing for young feet during every phase of growth. Every so often children dream about being adults. That?s why we have designed a model for your children that is inspired by mum and dad?s shoes yet does not impede safety and comfort. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% IPEVA,100% IPEVA,,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/J15CNA01415-8011_1.jpg,,
Këpucë Blainey,U026QC00022-1006,Blainey shoes,COP,139.99,69.995,18,,bfbfbf,Burrë,GEOX,,39,U026QC00022,Këpucë-Këpucë,"Këto këpucë karakterizohen nga kombinimi i një shtrese të rehatshme dhe me ajrosje me një cipë që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve si dhe  për  t'i mbajtur këpucët e thara dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% poliuretan termoplastik,100% Termoplastic Rubber,,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/U026QC00022-1006_1.jpg,,
Mokasina Calarossa,U029FB00022-6006,Calarossa moccasins,COP,139.99,69.995,18,,68240b,Burrë,GEOX,,39,U029FB00022,Këpucë-Mokasina,"Këto mokasina karakterizohen nga kombinimi i një shtrese të rehatshme dhe me ajrosje me një cipë që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve për t?u siguruar që këmbët tuaja të jenë të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% poliuretan termoplastik,100% Termoplastic Rubber,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/U029FB00022-6006_1.jpg,,
Atlete Levita,U159XA08522-4002,Levita sneakers,COP,169.99,118.993,18,,1b0d72,Burrë,GEOX,,39,U159XA08522,Këpucë-Atlete,"Super të rehatshme dhe me ajrosje dhe të lehta për t'i mbathur, këto kanë një cipë për ajrosje e cila është waterproof. Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyre për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën.","Levita is a true revolution when it comes to innovation. Super comfortable with a snug upper and easy to wear, it is the first sneaker in which the waterproof and breathable membrane - the heart of Geox patented technology - is on display. The innovative 3D mesh panel offers improved lightness and shock absorption while encouraging ventilation, boosted by the special inner lining. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",20% gomë 20% poliuretan termoplastik 60% acetat etilen-vinil,20% Rubber-20% Termoplastic Polyurethane-60% Ethylene-Vinyl Acetate,,,1,2,AO,http://46.99.130.129:60000/_uploads/photos/U159XA08522-4002_1.jpg,,
Atlete Spherica,U15BYA0006K-4064,Sneakers Spherica,COP,129.99,103.992,18,,0c343d,Burrë,GEOX,,39,U15BYA0006K,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% CMEVA,100% CMEVA,,,1,2,VN,http://46.99.130.129:60000/_uploads/photos/U15BYA0006K-4064_1.jpg,,
Atlete Nebula,U15D7D06K85-4585,Nebula sneakers,COP,159.99,79.995,18,,1b0d72-130e36,Burrë,GEOX,,39,U15D7D06K85,Këpucë-Atlete,"Me rehati maksimale, Nebula e përfaqëson majën e teknologjisë GEOX. Atlete të dizajnuara për ta shëtitur botën, të përshtatshme për çdo sezon dhe që në mënyrë natyrale i adaptohen secilës lëvizje të këmbëve. Këto janë atletet ideale për ata që duan të udhëtojnë me stil dhe personalitetin, por pa e penguar rehatinë. Falë teknologjive Net Breathing System dhe Inner Breathing System, atletet kanë nivel të lartë të ajrosjes, fleksibilitet maksimal, stabilitet e shumëçka tjetër që garanduhen nga 3D Performance Unit.","Resulting from the fusion of a modern design with maximum comfort, Nebula represents the peak of GEOX technology. Designed for travelling the world, perfect for any season, they naturally adapt to every movement of the foot. This is the perfect shoe for those who love to travel with style and personality, without compromising on comfort. Wearing them is like walking on a cloud. The combination of the Net Breathing System and Inner Breathing System equips the shoe with 360° breathability, also thanks to the special lining that supports temperature regulation of the foot. Maximum flexibility, stability, comfort and grip are all guaranteed by the 3D Performance Unit.",67% acetat etilen-vinil 33% gomë,67% Ethylene-Vinyl Acetate-33% Rubber,,,1,2,AO,http://46.99.130.129:60000/_uploads/photos/U15D7D06K85-4585_1.jpg,,
Këpucë Faviola,D158UA00021-9B7R,Faviola shoes,COP,149.99,74.995,18,,000000-f8d3ac,Grua,GEOX,,39,D158UA00021,Këpucë-Këpucë,"Këto këpucë karakterizohen nga kombinimi i një shtrese të rehatshme dhe një cipe që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% poliuretan termoplastik,100% Termoplastic Polyurethane,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/D158UA00021-9B7R_1.jpg,,
Atlete Aerantis,D02HNA00020-6004,Aerantis sneakers,COP,169.99,84.995,18,,9e7c72,Grua,GEOX,,39,D02HNA00020,Këpucë-Atlete,"Aerantis ? është thelbi i teknologjisë dhe krenohet me zgjidhjet e fundit që lejojnë këpucët të marrin frymë për një ndjesi të mahnitshme të mirëqenies. Sistemi novator i ventilimit funksionon si një motor i fuqishëm i cili, i nxitur nga lëvizja, rrit qarkullimin e brendshëm të ajrit dhe lehtëson frymëmarrjen në të gjithë këmbën. Punon së bashku me Sistemin e Frymëmarrjes së Brendshme, një rreshtim i veçantë i brendshëm i cili optimizon frymëmarrjen dhe shpërndarjen e nxehtësisë, dhe Sistemin e Frymëmarrjes Neto, i cili siguron që ajri i nxehtë nga brenda të zëvendësohet me ajër të ftohtë nga jashtë falë shpimit të gjerë të tabanit dhe sipërfaqe që merr frymë. Toka klasike e gomës Geox bazohet në një patentë ekskluzive: kombinimi i tabanit të shpuar dhe membranës rezistente të frymëmarrjes dhe të papërshkueshëm nga uji lejojnë rregullimin natyror të temperaturës, duke krijuar kështu mikroklimën e përsosur brenda këpucëve që i mban këmbët të thata dhe të rehatshme për tërë ditën.","Aerantis? is the essence of technology and boasts cutting-edge solutions that allow the shoe to breathe for an amazing sensation of well-being. The groundbreaking Ventilation System works just like a powerful engine which, prompted by movement, steps up the internal air circulation and facilitates breathability all around the foot. It works in conjunction with the Inner Breathing System, a special interior lining which optimises breathability and heat dispersion, and the Net Breathing System, which ensures that hot air from the inside is replaced with cool air from the outside thanks to the sole?s broad perforated and breathable surface area. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",60% Etilen-Acetat Vinyl-40% Gomë,60% Ethylene-Vinyl Acetate-40% Rubber,,,1,1,AO,http://46.99.130.129:60000/_uploads/photos/D02HNA00020-6004_1.jpg,,
Qizme Nebula,U162VC00045-6009,Boots Nebula,COP,179.99,89.995,18,,a66c12,Burrë,GEOX,,39,U162VC00045,Këpucë-Atlete,Goma klasike e Geox bazohet në materialin patent ekskluziv. Kombinimi i gomës dhe membranës e cila është e papërshkueshme nga uji dhe me ajrosje e lejojnë rregullimin natyral të temperaturës duke krijuar kështu mikroklimën perfekte brenda këpucëve e cila,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe t",67% Etilen-Vinil Acetat-33% Gomë,67% Ethylene-Vinyl Acetate-33% Rubber,,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/U162VC00045-6009_1.jpg,,
Çizme Falena,D16HXB046FU-0007,Boots Falena,COP,179.99,89.995,18,,ffffff-c0c0c0,Grua,GEOX,,39,D16HXB046FU,Këpucë-Çizme,Këto këpucë kanë shtresë termike e cila mbron nga temperaturat e rënda. Teknologjia Geox: praktike dhe të rehatshme.,These shoes feature a thermal lining that can protect against even the harshest temperatures. GEOX technology at the service of comfort and practicality.,80% Etilen-Vinil Acetat-20% Gomë,80% Ethylene-Vinyl Acetate-20% Rubber,,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/D16HXB046FU-0007_1.jpg,,
Çizme Dalyla,D16QSA02285-9002,Boots Dalyla,COP,179.99,89.995,18,,1.80E+308,Grua,GEOX,,39,D16QSA02285,Këpucë-Çizme,Këto këpucë kanë shtresë termike e cila mbron nga temperaturat e rënda. Teknologjia Geox: praktike dhe të rehatshme.,These shoes feature a thermal lining that can protect against even the harshest temperatures. GEOX technology at the service of comfort and practicality.,60% Etilen-Vinil Acetat-30% Gome-10% Gomë Termoplastike,60% Ethylene-Vinyl Acetate-30% Rubber-10% Termoplastic Rubber,,,1,5,AO,http://46.99.130.129:60000/_uploads/photos/D16QSA02285-9002_1.jpg,,
Atlete Spherica,U15BYA0006K-9997,Sneakers Spherica,COP,129.99,103.992,18,,0,Burrë,GEOX,,39,U15BYA0006K,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% CMEVA,100% CMEVA,,,1,2,VN,http://46.99.130.129:60000/_uploads/photos/U15BYA0006K-9997_1.jpg,,
Çizme Nevegal,J04CSB0FUME-9002,Nevegal girl,COP,119.99,59.995,18,,0,Fëmijë (Djalë),GEOX,,39,J04CSB0FUME,Këpucë-Çizme,"Nevegal ABX është ideale për mot të ftohtë ose të keq. Është punuar nga najloni dhe një material gri të errët. E pajisur me teknologji inovative, Nevegal ABX ka një thembër të jashtme me frymëmarrje dhe me një sistem të patentuar nga Geox, i cili promovon","Nevegal ABX is a key winter piece that will prove ideal for cold or bad weather. It has been crafted from nylon and a waxed-leather-effect material in dark grey. Endowed with innovative technology, Nevegal ABX has a breathable outsole with a Geox-patented",100% Gomë,100% Rubber,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/J04CSB0FUME-9002_1.jpg,,
Sandale Macchina,B254WB00085-8172,Macchina Sandals,COP,69.99,48.993,18,,f2d0d0,Foshnje (Vajzë),GEOX,,39,B254WB00085,Këpucë-Atlete,,,100% Gomë,100% Rubber,,,1,3,IN,http://46.99.130.129:60000/_uploads/photos/B254WB00085-8172_1.jpg,,
Atlete Skyely,D25QXE0AL22-H85Q,Skyely Sneakers,COP,139.99,97.993,18,,f5a451-eeeeee,Grua,GEOX,,39,D25QXE0AL22,Këpucë-Atlete,,,100% Etilen-Vinil acetat,100% Ethylene-Vinyl Acetate,,,1,1,MA,http://46.99.130.129:60000/_uploads/photos/D25QXE0AL22-H85Q_1.jpg,,
Atlete Nettuno,J15AWC0BU85-4231,Nettuno Snakers,COP,89.99,62.993,18,,08333c,Fëmijë (Djalë),GEOX,,39,J15AWC0BU85,Këpucë-Atlete,,,100% IPEVA,100% IPEVA,,,1,3,MM,http://46.99.130.129:60000/_uploads/photos/J15AWC0BU85-4231_1.jpg,,
Xhaketë Garlan,M2521GT2600-4399,Jacket Garlan,COP,209.99,104.995,18,,93964,Burrë,GEOX,,39,M2521GT2600,Veshje-Xhaketë,,,100% PL,100%PL,,,1,1,CN,http://46.99.130.129:60000/_uploads/photos/M2521GT2600-4399_1.jpg,,
Atlete Delray,U16CQD0MEBU-4002,Athlete Delray,COP,129.99,90.993,18,,92946,Burrë,GEOX,,39,U16CQD0MEBU,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% Gomë,100% Rubber,,,1,3,MM,http://46.99.130.129:60000/_uploads/photos/U16CQD0MEBU-4002_1.jpg,,
Atlete Dolomia,U16DQA085FU-1236,Sneakers Dolomia,COP,139.99,97.993,18,,ffffff-cfc4c4,Burrë,GEOX,,39,U16DQA085FU,Këpucë-Atlete,,,100% Gomë,100% Rubber,,,1,2,VN,http://46.99.130.129:60000/_uploads/photos/U16DQA085FU-1236_1.jpg,,
Atlete Delray,U25A7A011PT-0043,Athlete Delray,COP,119.99,83.993,18,,808080-000000,Burrë,GEOX,,39,U25A7A011PT,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% Gomë,100% Rubber,,,1,1,MM,http://46.99.130.129:60000/_uploads/photos/U25A7A011PT-0043_1.jpg,,
Atlete Pantelleria,U25DWA000NB-4002,Pantelleria sneakers,COP,99.99,69.993,18,,92946,Burrë,GEOX,,39,U25DWA000NB,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% Termoplastic Gomë,100% Termoplastic Rubber,,,1,1,MM,http://46.99.130.129:60000/_uploads/photos/U25DWA000NB-4002_1.jpg,,
Atlete Dalyla,D25QFA046BN-1ZB5,Athlete Dalyla,COP,149.99,104.993,18,,ffffff-f9cb9c,Grua,GEOX,,39,D25QFA046BN,Këpucë-Atlete,"Goma klasike Geox është e bazuar në ekskluzivitetin mes: kombinit të gomës së shpuar dhe membranës rezistente ndaj ujit dhe të ajrosur që mundëson rregullimin e temperaturave, kësisoji duke krijuar mikroklimën përfekte brenda këpucës që i mban këmbët e terura dhe të rehatshme gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% Gomë,100% Rubber,,,1,2,VN,http://46.99.130.129:60000/_uploads/photos/D25QFA046BN-1ZB5_1.jpg,,
Xhaketë Garlan,M2521GT2600-1603,Jacket Garlan,COP,209.99,104.995,18,,5a6b52,Burrë,GEOX,,39,M2521GT2600,Veshje-Xhaketë,,,100% PL,100%PL,,,1,1,CN,http://46.99.130.129:60000/_uploads/photos/M2521GT2600-1603_1.jpg,,
